X1,mod_agency,maj_agency_cat,vendor_name,street_address,city,state,zipcode,maj_fund_agency_cat,contracting_office_agency_id,dollars_obligated,description_of_contract_requirement,vendor_cd,place_of_performance_city,pop_state_code,place_of_performance_congressional_district,product_or_service_code,unique_transaction_id,vLocation,popLocation,beltway,vlon,vlat,plon,plat,beltwayMetro,gcBeltFund,gcMetroBeltFund,majAgency
53,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION (3632),86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,32515190,LOT 7 RAPID REPAIR AND RESPONSE (R3),NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",d02179ebaf6e47b9afaef5054055ce8f,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
822,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,36287605.44,IGF::OT::IGF,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",b0056d62fea44a0aad82cd786c98035b,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
1666,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,123281818,"THIS MODIFICATION ESTABLISHES A UCA IN SUPPORT OF ITEMS 1001, 1005, 1012, 1013, 1101, 2001, 2004&3001.",NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",606d2ef20fc5403dbe2bbd95a6987dc0,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
2201,1700: DEPT OF THE NAVY,9700: Department of Defense,BELL BOEING JOINT PROJECT OFFICE,401 TILTROTOR DR PLANT A,AMARILLO,TX,79111,9700: Department of Defense,1700: DEPT OF THE NAVY,3859e4,"PROVISION OF FY16 APN LONG LEAD-TIME ITEM FUNDING FOR LOT 21 CLIN 0401, UPDATE TO PBP PAYMENT SCHEDULES, UPDATE CDRL B009",NA,AMARILLO,TX,TX13,"1510: AIRCRAFT, FIXED WING",08cfb46129a242a2a633a28c4f21ae25,"AMARILLO, TX","AMARILLO, TX",notInBeltway,-101.8312969,35.2219971,-101.8312969,35.2219971,notInBeltway,0,0,Department of Defense
2420,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,THE BOEING COMPANY,7755 E MARGINAL WAY S,SEATTLE,WA,98108,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,38735162,CONTRACTOR LOGISTICS SUPPORT FOR THE C-32 AND C-40 AIRCRAFT.,NA,TUKWILA,WA,WA09,"1510: AIRCRAFT, FIXED WING",5f867aec392b46e0960bf07ad87c10cb,"SEATTLE, WA","TUKWILA, WA",notInBeltway,-122.3320708,47.6062095,-122.2609558,47.4739884,notInBeltway,0,0,Department of Defense
2505,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,47835600,FY15A EXTENSION,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",fd5b327f2d57435497efb71b34db6a38,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
2838,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,260078333.35,"ACAT I, C-130J, FY15 ADVANCE PROCUREMENT FOR FY16 C-130J AIRCRAFT",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",d634c40bb07c460198712713b5da41c0,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
2840,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,897530175,FY 15 LOT 39 FRP MODIFICATION FOR FIFTEEN EA-18G AIRCRAFT.,NA,SAINT LOUIS,MO,MO01,"1510: AIRCRAFT, FIXED WING",d0e5aacd571d49bcb972d7b77014eed3,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
2841,1700: DEPT OF THE NAVY,9700: Department of Defense,BELL BOEING JOINT PROJECT OFFICE,401 TILTROTOR DR PLANT A,AMARILLO,TX,79111,9700: Department of Defense,1700: DEPT OF THE NAVY,1184355067.17,THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE FY16 APN-1 FULL FUNDING FOR CLIN 0301 AS WELL AS INCORPORATE AMENDED ECP 1048R1 AND THE ASSOCIATED FUNDING FOR CLIN 0303,NA,AMARILLO,TX,TX13,"1510: AIRCRAFT, FIXED WING",96bbbb8bc505403d8e78f9dda99bc23f,"AMARILLO, TX","AMARILLO, TX",notInBeltway,-101.8312969,35.2219971,-101.8312969,35.2219971,notInBeltway,0,0,Department of Defense
3014,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,501835132,"MODIFICATION ESTABLISHES A UCA IN SUPPORT OF ITEMS 1001, 1005, 1012, 1013, 1101, 2001, 2004&3001.",NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",a8407b6cb3db43d1b6c80016759cbab9,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
3165,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,686202196,"ACAT I, C-130J, UNDEFINITIZED CONTRACT ACTION FOR SEVENTEEN (17) C-130J AIRCRAFT",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",8a57250851e44513a1b5056020961f2f,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
3248,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,11356e4,INCREASE USAF F-35A ADVANCE PROCUREMENT FUNDING AND NL LRIP 11 XLL FUNDING,NA,FORT WORTH,TX,TX33,"1510: AIRCRAFT, FIXED WING",6cd59f844caa48b6bd8e8b9d3edc787f,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
3693,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,47514822,MODIFICATION MANAGEMENT FY16,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",d66821dbd6364929a2a590e84afcd848,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
4398,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,1244479334.78,"ACAT I C-130J MYPC II, FY14 - FY18 AIRCRAFT BUY",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",b8270f89f40d4f068589e738612eb687,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
5328,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,54443758,"F-15, RMP, GPP3 REHOST",NA,SAINT LOUIS,MO,MO01,"1510: AIRCRAFT, FIXED WING",c2500c8fade44eabb41efd0aeb836003,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
5334,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,72684e3,"ACAT I, C-130J, FMS INDIA ADDITIONAL FUNDS FOR UCA",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",af2172ba23c4447eac1c4d20a16e0715,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
6325,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,60412726,FY15A JANUARY EXTENSION,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",10da9d40e7c94e7e9bff6940e66beb36,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
7431,1700: DEPT OF THE NAVY,9700: Department of Defense,THE BOEING COMPANY,7755 E MARGINAL WAY S,SEATTLE,WA,98108,9700: Department of Defense,1700: DEPT OF THE NAVY,178057663,P-8 TRAINING PRODUCTION CONCURRENCY UPDATES (FY 15),NA,TUKWILA,WA,WA09,"1510: AIRCRAFT, FIXED WING",ae443ad1a9664214a116327132047bc9,"SEATTLE, WA","TUKWILA, WA",notInBeltway,-122.3320708,47.6062095,-122.2609558,47.4739884,notInBeltway,0,0,Department of Defense
7433,1700: DEPT OF THE NAVY,9700: Department of Defense,THE BOEING COMPANY,7755 E MARGINAL WAY S,SEATTLE,WA,98108,9700: Department of Defense,1700: DEPT OF THE NAVY,675e5,PURCHASE OF P-8 MAINTENANCE TRAINING DEVICES IN SUPPORT OF THE RAAF.,NA,TUKWILA,WA,WA09,"1510: AIRCRAFT, FIXED WING",4c6964af229841e1b9cfc8ff38cc2c2a,"SEATTLE, WA","TUKWILA, WA",notInBeltway,-122.3320708,47.6062095,-122.2609558,47.4739884,notInBeltway,0,0,Department of Defense
7841,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6001 S AIR DEPOT BLVD,OKLAHOMA CITY,OK,73135,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,63157098,OPTION EXERCISE FOR B-52 CONECT FULL FLEET UPGRADE CONTRACT,NA,OKLAHOMA CITY,OK,OK04,"1510: AIRCRAFT, FIXED WING",55f900943c0644afb0dbb0be6106eb5f,"OKLAHOMA CITY, OK","OKLAHOMA CITY, OK",notInBeltway,-97.5164276,35.4675602,-97.5164276,35.4675602,notInBeltway,0,0,Department of Defense
8208,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,61943087.71,IGF::IT::IGF,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",93c78293477247f7a15c59edb4c64ce2,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
9175,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,86 SOUTH COBB DR,MARIETTA,GA,30063,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,38654158,"FMS KC-130J SAUDI ARABIA, INCREASE FUNDING ADMIN MOD",NA,MARIETTA,GA,GA11,"1510: AIRCRAFT, FIXED WING",491b1c315bd643cba1571ced19709a4a,"MARIETTA, GA","MARIETTA, GA",notInBeltway,-84.5499327,33.952602,-84.5499327,33.952602,notInBeltway,0,0,Department of Defense
10075,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,2741839935.78,F-15SA CONTRACT DEFINITIZATION,NA,SAINT LOUIS,MO,MO01,"1510: AIRCRAFT, FIXED WING",58aee0984a114824963ec5ae0e10a876,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
10107,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,158048003,THE PURPOSE OF THIS MODIFICATION IS TO REVISE FUNDING ON THE LRIP 9 UCA AIRCRAFT CLINS.,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",7b23ad178bd94033afc391366eb865b4,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
10518,1700: DEPT OF THE NAVY,9700: Department of Defense,LOCKHEED MARTIN CORPORATION,1 LOCKHEED BLVD,FORT WORTH,TX,76108,9700: Department of Defense,1700: DEPT OF THE NAVY,646571536.19,IGF::OT::IGF,NA,FORT WORTH,TX,TX12,"1510: AIRCRAFT, FIXED WING",5d0afc37fc9d457ba32e7d11809c2342,"FORT WORTH, TX","FORT WORTH, TX",notInBeltway,-97.3307658,32.7554883,-97.3307658,32.7554883,notInBeltway,0,0,Department of Defense
