X1,mod_agency,maj_agency_cat,vendor_name,street_address,city,state,zipcode,maj_fund_agency_cat,contracting_office_agency_id,dollars_obligated,description_of_contract_requirement,vendor_cd,place_of_performance_city,pop_state_code,place_of_performance_congressional_district,product_or_service_code,unique_transaction_id,vLocation,popLocation,beltway,vlon,vlat,plon,plat,beltwayMetro,gcBeltFund,gcMetroBeltFund,majAgency
696,2100: DEPT OF THE ARMY,9700: Department of Defense,"BOEING COMPANY, THE",5000 EAST MCDOWELL ROAD,MESA,AZ,85215,9700: Department of Defense,2100: DEPT OF THE ARMY,47131597.32,"IGF::CL,CT::IGF",NA,MESA,AZ,AZ05,R706: SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,2d76064833234715acc6cb5cd69c47df,"MESA, AZ","MESA, AZ",notInBeltway,-111.8314724,33.4151843,-111.8314724,33.4151843,notInBeltway,0,0,Department of Defense
2840,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,897530175,FY 15 LOT 39 FRP MODIFICATION FOR FIFTEEN EA-18G AIRCRAFT.,NA,SAINT LOUIS,MO,MO01,"1510: AIRCRAFT, FIXED WING",d0e5aacd571d49bcb972d7b77014eed3,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
3717,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,23343840,DSU-38A/B PRECISION LASER GUIDANCE SETS FOR USN FY15 PRODUCTION,NA,SAINT LOUIS,MO,MO01,1325: BOMBS,47ece2c1ce404cf1baab04f208a4b8a9,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
5328,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,54443758,"F-15, RMP, GPP3 REHOST",NA,SAINT LOUIS,MO,MO01,"1510: AIRCRAFT, FIXED WING",c2500c8fade44eabb41efd0aeb836003,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
5709,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,124606538,HARPOON BLOCK II AIR LAUNCH MISSILE,NA,SAINT LOUIS,MO,MO01,1410: GUIDED MISSILES,b78ed22734e6434f9013de78552e032e,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
5977,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6001 S AIR DEPOT BLVD,OKLAHOMA CITY,OK,73135,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,23436726.4,IGF::OT::IGF ENGINEERING SERVICES FOR B-1,NA,OKLAHOMA CITY,OK,OK04,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,2829e791eab94764ae64f3cc75f3f586,"OKLAHOMA CITY, OK","OKLAHOMA CITY, OK",notInBeltway,-97.5164276,35.4675602,-97.5164276,35.4675602,notInBeltway,0,0,Department of Defense
6403,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6001 S AIR DEPOT BLVD,OKLAHOMA CITY,OK,73135,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,18985338.76,IGF::CT::IGF PROGRAM DEPOT MAINTENANCE (HEAVY MAINTENANCE),NA,SAN ANTONIO,TX,TX20,J015: MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,24d72fcb30624d22bd2889e352d18dbc,"OKLAHOMA CITY, OK","SAN ANTONIO, TX",notInBeltway,-97.5164276,35.4675602,-98.4936282,29.4241219,notInBeltway,0,0,Department of Defense
7230,1700: DEPT OF THE NAVY,9700: Department of Defense,"BOEING COMPANY, THE",6200 JS MCDONNELL BLVD,SAINT LOUIS,MO,63134,9700: Department of Defense,1700: DEPT OF THE NAVY,29356110,"THE PURPOSE OF THIS MODIFICATION IS TO REVISE CLINS 0001, 0004, AND 0005; AND ADD CLIN 0002.",NA,SAINT LOUIS,MO,MO01,1325: BOMBS,3c09dc2cf3b04761acf0a2668cfda1a4,"SAINT LOUIS, MO","SAINT LOUIS, MO",notInBeltway,-90.1994042,38.6270025,-90.1994042,38.6270025,notInBeltway,0,0,Department of Defense
7726,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",801 IRVING WICK DR W,NEWARK,OH,43056,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,30187662.02,IGF::OT::IGF THIS CONTRACT REPAIRS THE GUIDANCE SUB-SYSTEM OF THE MINUTEMAN III ICBM.,NA,HEATH,OH,OH12,L014: TECHNICAL REPRESENTATIVE- GUIDED MISSILES,fde58f907eaf48d3a8ab20958aa2a47f,"NEWARK, OH","HEATH, OH",notInBeltway,-82.4012642,40.0581205,-82.4445991,40.0228421,notInBeltway,0,0,Department of Defense
7841,5700: DEPT OF THE AIR FORCE,9700: Department of Defense,"BOEING COMPANY, THE",6001 S AIR DEPOT BLVD,OKLAHOMA CITY,OK,73135,9700: Department of Defense,5700: DEPT OF THE AIR FORCE,63157098,OPTION EXERCISE FOR B-52 CONECT FULL FLEET UPGRADE CONTRACT,NA,OKLAHOMA CITY,OK,OK04,"1510: AIRCRAFT, FIXED WING",55f900943c0644afb0dbb0be6106eb5f,"OKLAHOMA CITY, OK","OKLAHOMA CITY, OK",notInBeltway,-97.5164276,35.4675602,-97.5164276,35.4675602,notInBeltway,0,0,Department of Defense
